COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Spain,2009,28,ILI CASES,0TO4,,,,,3.00
Spain,2009,28,ILI CASES,5TO14,,,,,10.00
Spain,2009,28,ILI CASES,15TO64,,,,,48.00
Spain,2009,28,ILI CASES,65TO,,,,,1.00
Spain,2009,28,ILI CASES,UNKNOWN,,,,,1.00
Spain,2009,28,ILI CASES,ALL,,,,,63.00
Spain,2009,28,ILI OUTPATIENTS,0TO4,,,,,0.00
Spain,2009,28,ILI OUTPATIENTS,5TO14,,,,,0.00
Spain,2009,28,ILI OUTPATIENTS,15TO64,,,,,0.00
Spain,2009,28,ILI OUTPATIENTS,65TO,,,,,0.00
Spain,2009,28,ILI OUTPATIENTS,UNKNOWN,,,,,0.00
Spain,2009,28,ILI OUTPATIENTS,ALL,,,,,
Spain,2009,28,ILI POPULATION COVERED,0TO4,,,,,39405.00
Spain,2009,28,ILI POPULATION COVERED,5TO14,,,,,74424.00
Spain,2009,28,ILI POPULATION COVERED,15TO64,,,,,345287.00
Spain,2009,28,ILI POPULATION COVERED,65TO,,,,,86978.00
Spain,2009,28,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Spain,2009,28,ILI POPULATION COVERED,ALL,,,,,
Spain,2009,28,ILI SITES NUMBER,,,,,,0.00
Spain,2009,28,ARI CASES,0TO4,,,,,
Spain,2009,28,ARI CASES,5TO14,,,,,
Spain,2009,28,ARI CASES,15TO64,,,,,
Spain,2009,28,ARI CASES,65TO,,,,,
Spain,2009,28,ARI CASES,UNKNOWN,,,,,
Spain,2009,28,ARI CASES,ALL,,,,,
Spain,2009,28,ARI OUTPATIENTS,0TO4,,,,,
Spain,2009,28,ARI OUTPATIENTS,5TO14,,,,,
Spain,2009,28,ARI OUTPATIENTS,15TO64,,,,,
Spain,2009,28,ARI OUTPATIENTS,65TO,,,,,
Spain,2009,28,ARI OUTPATIENTS,UNKNOWN,,,,,
Spain,2009,28,ARI OUTPATIENTS,ALL,,,,,
Spain,2009,28,ARI POPULATION COVERED,0TO4,,,,,
Spain,2009,28,ARI POPULATION COVERED,5TO14,,,,,
Spain,2009,28,ARI POPULATION COVERED,15TO64,,,,,
Spain,2009,28,ARI POPULATION COVERED,65TO,,,,,
Spain,2009,28,ARI POPULATION COVERED,UNKNOWN,,,,,
Spain,2009,28,ARI POPULATION COVERED,ALL,,,,,
Spain,2009,28,ARI SITES NUMBER,,,,,,
Spain,2009,28,TREND,,,,,,Not Available
Spain,2009,28,INTENSITY,,,,,,Not Available
Spain,2009,28,IMPACT,,,,,,
Spain,2009,28,GEOSPREAD,,,,,,No Activity
Spain,2009,37,ILI CASES,0TO4,,,,,45.00
Spain,2009,37,ILI CASES,5TO14,,,,,52.00
Spain,2009,37,ILI CASES,15TO64,,,,,197.00
Spain,2009,37,ILI CASES,65TO,,,,,9.00
Spain,2009,37,ILI CASES,UNKNOWN,,,,,1.00
Spain,2009,37,ILI CASES,ALL,,,,,304.00
Spain,2009,37,ILI OUTPATIENTS,0TO4,,,,,
Spain,2009,37,ILI OUTPATIENTS,5TO14,,,,,
Spain,2009,37,ILI OUTPATIENTS,15TO64,,,,,
Spain,2009,37,ILI OUTPATIENTS,65TO,,,,,
Spain,2009,37,ILI OUTPATIENTS,UNKNOWN,,,,,
Spain,2009,37,ILI OUTPATIENTS,ALL,,,,,
Spain,2009,37,ILI POPULATION COVERED,0TO4,,,,,52898.00
Spain,2009,37,ILI POPULATION COVERED,5TO14,,,,,98228.00
Spain,2009,37,ILI POPULATION COVERED,15TO64,,,,,459210.00
Spain,2009,37,ILI POPULATION COVERED,65TO,,,,,113968.00
Spain,2009,37,ILI POPULATION COVERED,UNKNOWN,,,,,
Spain,2009,37,ILI POPULATION COVERED,ALL,,,,,724304.00
Spain,2009,37,ILI SITES NUMBER,,,,,,
Spain,2009,37,ARI CASES,0TO4,,,,,
Spain,2009,37,ARI CASES,5TO14,,,,,
Spain,2009,37,ARI CASES,15TO64,,,,,
Spain,2009,37,ARI CASES,65TO,,,,,
Spain,2009,37,ARI CASES,UNKNOWN,,,,,
Spain,2009,37,ARI CASES,ALL,,,,,
Spain,2009,37,ARI OUTPATIENTS,0TO4,,,,,
Spain,2009,37,ARI OUTPATIENTS,5TO14,,,,,
Spain,2009,37,ARI OUTPATIENTS,15TO64,,,,,
Spain,2009,37,ARI OUTPATIENTS,65TO,,,,,
Spain,2009,37,ARI OUTPATIENTS,UNKNOWN,,,,,
Spain,2009,37,ARI OUTPATIENTS,ALL,,,,,
Spain,2009,37,ARI POPULATION COVERED,0TO4,,,,,
Spain,2009,37,ARI POPULATION COVERED,5TO14,,,,,
Spain,2009,37,ARI POPULATION COVERED,15TO64,,,,,
Spain,2009,37,ARI POPULATION COVERED,65TO,,,,,
Spain,2009,37,ARI POPULATION COVERED,UNKNOWN,,,,,
Spain,2009,37,ARI POPULATION COVERED,ALL,,,,,
Spain,2009,37,ARI SITES NUMBER,,,,,,
Spain,2009,37,TREND,,,,,,Decreasing
Spain,2009,37,INTENSITY,,,,,,Not Available
Spain,2009,37,IMPACT,,,,,,
Spain,2009,37,GEOSPREAD,,,,,,Localized
Spain,2009,38,ILI CASES,0TO4,,,,,40.00
Spain,2009,38,ILI CASES,5TO14,,,,,98.00
Spain,2009,38,ILI CASES,15TO64,,,,,238.00
Spain,2009,38,ILI CASES,65TO,,,,,16.00
Spain,2009,38,ILI CASES,UNKNOWN,,,,,5.00
Spain,2009,38,ILI CASES,ALL,,,,,397.00
Spain,2009,38,ILI OUTPATIENTS,0TO4,,,,,
Spain,2009,38,ILI OUTPATIENTS,5TO14,,,,,
Spain,2009,38,ILI OUTPATIENTS,15TO64,,,,,
Spain,2009,38,ILI OUTPATIENTS,65TO,,,,,
Spain,2009,38,ILI OUTPATIENTS,UNKNOWN,,,,,
Spain,2009,38,ILI OUTPATIENTS,ALL,,,,,
Spain,2009,38,ILI POPULATION COVERED,0TO4,,,,,55082.00
Spain,2009,38,ILI POPULATION COVERED,5TO14,,,,,105319.00
Spain,2009,38,ILI POPULATION COVERED,15TO64,,,,,483496.00
