text


Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
China,Western Pacific Region of WHO,Eastern Asia,1999,33,1999-08-16,1999-08-22,,1482,0,,212,,,212,,,39,39,251,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,1999,38,1999-09-20,1999-09-26,,1249,0,,73,,,73,,,58,58,131,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,1999,42,1999-10-18,1999-10-24,,961,0,,18,,,18,,,24,24,42,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,1999,46,1999-11-15,1999-11-21,,980,0,,15,,,15,,,17,17,32,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,1999,50,1999-12-13,1999-12-19,,846,0,,13,,,13,,,10,10,23,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,1999,51,1999-12-20,1999-12-26,,,,,,,,0,,,0,0,0,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,27,2000-07-03,2000-07-09,,,0,,45,,0,45,,,2,2,47,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,28,2000-07-10,2000-07-16,,,1,,37,,2,40,,,0,0,40,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,29,2000-07-17,2000-07-23,,,0,,17,,2,19,,,2,2,21,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,30,2000-07-24,2000-07-30,,,5,,31,,2,38,,,2,2,40,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,31,2000-07-31,2000-08-06,,,5,,23,,3,31,,,1,1,32,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,32,2000-08-07,2000-08-13,,,4,,27,,2,33,,,1,1,34,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,33,2000-08-14,2000-08-20,,,19,,39,,3,61,,,2,2,63,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,34,2000-08-21,2000-08-27,,,18,,27,,1,46,,,1,1,47,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,35,2000-08-28,2000-09-03,,,10,,8,,1,19,,,4,4,23,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,36,2000-09-04,2000-09-10,,,13,,18,,1,32,,,3,3,35,,No Report
China,Western Pacific Region of WHO,Eastern Asia,2000,37,2000-09-11,2000-09-17,,,2,,2,,5,9,,,3,3,12,,No Report
China,Western Pacific Region of WHO,Eastern Asia,2000,38,2000-09-18,2000-09-24,,,7,,7,,2,16,,,2,2,18,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,39,2000-09-25,2000-10-01,,,1,,1,,0,2,,,3,3,5,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,40,2000-10-02,2000-10-08,,,1,,,,,1,,,0,0,1,,No Report
China,Western Pacific Region of WHO,Eastern Asia,2000,41,2000-10-09,2000-10-15,,,0,,0,,0,0,,,2,2,2,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,42,2000-10-16,2000-10-22,,,0,,1,,0,1,,,4,4,5,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,43,2000-10-23,2000-10-29,,,0,,0,,2,2,,,6,6,8,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,44,2000-10-30,2000-11-05,,,2,,0,,1,3,,,5,5,8,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,45,2000-11-06,2000-11-12,,,1,,1,,2,4,,,5,5,9,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,46,2000-11-13,2000-11-19,,,2,,0,,2,4,,,3,3,7,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,47,2000-11-20,2000-11-26,,,1,,0,,0,1,,,5,5,6,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,48,2000-11-27,2000-12-03,,,0,,0,,1,1,,,5,5,6,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,49,2000-12-04,2000-12-10,,,0,,1,,1,2,,,8,8,10,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,50,2000-12-11,2000-12-17,,,1,,,,,1,,,0,0,1,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2000,51,2000-12-18,2000-12-24,,,,,,,,0,,,0,0,0,,No Report
China,Western Pacific Region of WHO,Eastern Asia,2000,52,2000-12-25,2000-12-31,,,2,,0,,1,3,,,2,2,5,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2001,1,2001-01-01,2001-01-07,,,6,,1,,4,11,,,10,10,21,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2001,2,2001-01-08,2001-01-14,,,25,,1,,0,26,,,19,19,45,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2001,3,2001-01-15,2001-01-21,,,5,,1,,0,6,,,7,7,13,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2001,4,2001-01-22,2001-01-28,,,3,,1,,0,4,,,5,5,9,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2001,5,2001-01-29,2001-02-04,,,8,,4,,5,17,,,22,22,39,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2001,6,2001-02-05,2001-02-11,,,10,,4,,2,16,,,24,24,40,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2001,7,2001-02-12,2001-02-18,,,10,,7,,1,18,,,36,36,54,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2001,8,2001-02-19,2001-02-25,,,29,,2,,1,32,,,30,30,62,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2001,9,2001-02-26,2001-03-04,,,31,,0,,0,31,,,36,36,67,,No Report
China,Western Pacific Region of WHO,Eastern Asia,2001,10,2001-03-05,2001-03-11,,,43,,0,,0,43,,,36,36,79,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2001,11,2001-03-12,2001-03-18,,,29,,8,,6,43,,,47,47,90,,Local Outbreak
