textbox22
generated on 25/06/2018 02:29:00 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Denmark,European Region of WHO,Northern Europe,2006,1,2006-01-02,2006-01-08,,5,0,,0,,0,0,,,0,0,0,,No Report
Denmark,European Region of WHO,Northern Europe,2006,2,2006-01-09,2006-01-15,,12,0,,0,,0,0,,,1,1,1,,No Report
Denmark,European Region of WHO,Northern Europe,2006,3,2006-01-16,2006-01-22,,5,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,4,2006-01-23,2006-01-29,,10,0,,1,,0,1,,,3,3,4,,Sporadic
Denmark,European Region of WHO,Northern Europe,2006,5,2006-01-30,2006-02-05,,15,0,,1,,0,1,,,3,3,4,,Sporadic
Denmark,European Region of WHO,Northern Europe,2006,6,2006-02-06,2006-02-12,,21,0,,0,,0,0,,,13,13,13,,Sporadic
Denmark,European Region of WHO,Northern Europe,2006,7,2006-02-13,2006-02-19,,12,0,,1,,0,1,,,4,4,5,,Sporadic
Denmark,European Region of WHO,Northern Europe,2006,8,2006-02-20,2006-02-26,,12,0,,0,,0,0,,,6,6,6,,Sporadic
Denmark,European Region of WHO,Northern Europe,2006,9,2006-02-27,2006-03-05,,29,0,,0,,0,0,,,17,17,17,,Sporadic
Denmark,European Region of WHO,Northern Europe,2006,10,2006-03-06,2006-03-12,,52,1,,4,,0,5,,,20,20,25,,Sporadic
Denmark,European Region of WHO,Northern Europe,2006,11,2006-03-13,2006-03-19,,27,0,,4,,0,4,,,12,12,16,,Regional Outbreak
Denmark,European Region of WHO,Northern Europe,2006,12,2006-03-20,2006-03-26,,35,0,,4,,0,4,,,17,17,21,,Local Outbreak
Denmark,European Region of WHO,Northern Europe,2006,13,2006-03-27,2006-04-02,,26,0,,4,,0,4,,,10,10,14,,Regional Outbreak
Denmark,European Region of WHO,Northern Europe,2006,14,2006-04-03,2006-04-09,,17,0,,5,,0,5,,,5,5,10,,Local Outbreak
Denmark,European Region of WHO,Northern Europe,2006,15,2006-04-10,2006-04-16,,2,0,,1,,0,1,,,0,0,1,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,16,2006-04-17,2006-04-23,,1,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,17,2006-04-24,2006-04-30,,0,0,,0,,0,0,,,0,0,0,,No Report
Denmark,European Region of WHO,Northern Europe,2006,40,2006-10-02,2006-10-08,,0,0,,0,,0,0,,,0,0,0,,No Report
Denmark,European Region of WHO,Northern Europe,2006,41,2006-10-09,2006-10-15,,0,0,,0,,0,0,,,0,0,0,,No Report
Denmark,European Region of WHO,Northern Europe,2006,42,2006-10-16,2006-10-22,,0,0,,0,,0,0,,,0,0,0,,No Report
Denmark,European Region of WHO,Northern Europe,2006,43,2006-10-23,2006-10-29,,0,0,,0,,0,0,,,0,0,0,,No Report
Denmark,European Region of WHO,Northern Europe,2006,44,2006-10-30,2006-11-05,,0,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,45,2006-11-06,2006-11-12,,0,0,,0,,,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,46,2006-11-13,2006-11-19,,0,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,47,2006-11-20,2006-11-26,,0,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,48,2006-11-27,2006-12-03,,5,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,49,2006-12-04,2006-12-10,,1,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,50,2006-12-11,2006-12-17,,1,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,51,2006-12-18,2006-12-24,,3,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2006,52,2006-12-25,2006-12-31,,0,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2007,1,2007-01-01,2007-01-07,,5,0,,0,,0,0,,,0,0,0,,No Activity
Denmark,European Region of WHO,Northern Europe,2007,2,2007-01-08,2007-01-14,,12,0,,1,,0,1,,,0,0,1,,Sporadic
Denmark,European Region of WHO,Northern Europe,2007,3,2007-01-15,2007-01-21,,8,0,,2,,0,2,,,0,0,2,,Sporadic
Denmark,European Region of WHO,Northern Europe,2007,4,2007-01-22,2007-01-28,,4,0,,0,,0,0,,,0,0,0,,Sporadic
