country,year,week,ili_cases,ili_incidence,flu_positive,flu_proxy_incidence
United States,1997,40,570,0.01216856667093634,NA,NA
United States,1997,41,615,0.012806363617433314,NA,NA
United States,1997,42,681,0.012390604246647624,NA,NA
United States,1997,43,653,0.01144730383563565,NA,NA
United States,1997,44,700,0.01261124923431701,NA,NA
United States,1997,45,655,0.012827542986957033,NA,NA
United States,1997,46,932,0.014457906085661542,NA,NA
United States,1997,47,1100,0.016479647635170565,NA,NA
United States,1997,48,886,0.016751748912837965,NA,NA
United States,1997,49,1098,0.016173936099695082,NA,NA
United States,1997,50,1083,0.017663176436050494,NA,NA
United States,1997,51,1004,0.021039837381336576,NA,NA
United States,1997,52,1519,0.03136550414008136,NA,NA
United States,1997,53,1946,0.03718495022261288,NA,NA
United States,1998,1,2415,0.03592253227821741,NA,NA
United States,1998,2,2613,0.03689218952956458,NA,NA
United States,1998,3,3126,0.0460396477068544,NA,NA
United States,1998,4,3437,0.04910070143859198,NA,NA
United States,1998,5,3354,0.048268716000345394,NA,NA
United States,1998,6,2617,0.03945900304574651,NA,NA
United States,1998,7,1948,0.031080973274830476,NA,NA
United States,1998,8,1289,0.021395256195329226,NA,NA
United States,1998,9,827,0.014395376768960294,0.15791149315504616,0.002273195440115984
United States,1998,10,748,0.014787869202483097,0.1087945413191812,0.0016088394469721944
United States,1998,11,585,0.010855647720313978,0.08791748526522593,9.544012484951877e-4
United States,1998,12,486,0.00997967104047311,0.061898211829436035,6.177237920512929e-4
United States,1998,13,358,0.007442053840557115,0.056827820186598814,4.2291569747016685e-4
United States,1998,14,368,0.008566307409390348,0.036637931034482756,3.1385178008542223e-4
United States,1998,15,262,0.006217370669197911,0.032818532818532815,2.04044983352055e-4
United States,1998,16,265,0.006709540206603201,NA,NA
United States,1998,17,266,0.006940820373656195,NA,NA
United States,1998,18,209,0.005834566315848245,NA,NA
United States,1998,19,186,0.00577639751552795,NA,NA
United States,1998,20,165,0.006052158603235154,NA,NA
United States,1998,21,NA,NA,NA,NA
United States,1998,22,NA,NA,NA,NA
United States,1998,23,NA,NA,NA,NA
