season,subtype,VE,lowerCI,upperCI,ref,notes
2015-2016,B,55,44,64,jackson 2017,
2015-2016,H3N2,43,4,66,jackson 2017,
2015-2016,H1N1,45,34,53,jackson 2017,
2014-2015,H3N2,11,-1,21,Zimmerman 2016,
2014-2015,B,54,43,64,Zimmerman 2016,
2014-2015,H1N1,NA,NA,NA,Zimmerman 2016,
2013-2014,H3N2,17,-45,53,Gaglani 2016,
2013-2014,H1N1,54,46,61,Gaglani 2016,
2013-2014,B,29,-19,58,Gaglani 2016,
2012-2013,H3N2,39,29,47,Mclean 2014,
2012-2013,H1N1,NA,NA,NA,Mclean 2014,
2012-2013,B,63,58,64,Mclean 2014,unadjusted
2011-2012,H3N2,39,23,52,Ohmit 2014,
2011-2012,H1N1,64,44,79,Ohmit 2014,
2011-2012,B,58,35,73,Ohmit 2014,
2010-2011,H1N1,66,56,74,Treanor 2011,
2010-2011,H3N2,54,42,64,Treanor 2011,
2010-2011,B,60,48,69,Treanor 2011,
2009-2010,H3N2,NA,NA,NA,NA,
2009-2010,B,NA,NA,NA,NA,
2009-2010,H1N1,NA,NA,NA,NA,
2007-2008,H3N2,41,24,53,Belongia 2011,
2007-2008,B,31,3,51,Belongia 2011,
2007-2008,H1N1,NA,NA,NA,Belongia 2011,
2016-2017,H3N2,43,29,54,Flannery 2017,
2016-2017,B,73,54,84,Flannery 2017,
