,strain,region,clade_membership,num_date,season,A/Texas/50/2012,A/Perth/16/2009,A/HongKong/4801/2014,A/Wisconsin/67/2005,A/Switzerland/9715293/2013,A/Victoria/361/2011,A/Brisbane/10/2007,A/Alaska/232/2015
3,A/Incheon/677/2006,japan_korea,unassigned,2006.8678987,2006-2007,18.0,11.0,19.0,6.0,21.0,13.0,5.0,19.0
5,A/Quebec/26-191206/2006,north_america,unassigned,2006.96372348,2006-2007,17.0,10.0,16.0,5.0,20.0,12.0,4.0,18.0
6,A/Quebec/26-281106/2006,north_america,unassigned,2006.90622861,2006-2007,17.0,10.0,18.0,5.0,20.0,12.0,4.0,18.0
9,A/Pune/618976/2006,south_asia,unassigned,2006.64065708,2006-2007,16.0,9.0,17.0,5.0,19.0,11.0,4.0,17.0
10,A/India/P0618976/2006,south_asia,unassigned,2006.64065708,2006-2007,16.0,9.0,17.0,5.0,19.0,11.0,4.0,17.0
13,A/Delhi/635427/2006,south_asia,unassigned,2006.35318275,2006-2007,17.0,10.0,18.0,6.0,20.0,12.0,5.0,18.0
14,A/India/D0635427/2006,south_asia,unassigned,2006.35318275,2006-2007,17.0,10.0,18.0,6.0,20.0,12.0,5.0,18.0
16,A/Fukushima/169/2006,japan_korea,unassigned,2006.29295003,2006-2007,18.0,11.0,17.0,7.0,19.0,13.0,6.0,17.0
18,A/Thailand/86/2006,southeast_asia,unassigned,2006.27104723,2005-2006,19.0,12.0,18.0,8.0,20.0,14.0,7.0,18.0
20,A/Ukraine/UA-218/2006,europe,unassigned,2006.29842574,2006-2007,19.0,12.0,18.0,8.0,20.0,14.0,7.0,18.0
21,A/Ukraine/218/2006,europe,unassigned,2006.29842574,2006-2007,19.0,12.0,18.0,8.0,20.0,14.0,7.0,18.0
24,A/England/557/2006,europe,unassigned,2006.90896646,2006-2007,17.0,12.0,18.0,8.0,20.0,12.0,7.0,18.0
25,A/NewYork/UR06-0515/2007,north_america,unassigned,2007.1724846,2006-2007,16.0,13.0,17.0,9.0,19.0,11.0,8.0,17.0
27,A/Thailand/558/2006,southeast_asia,unassigned,2006.63518138,2006-2007,16.0,9.0,17.0,5.0,19.0,11.0,4.0,17.0
29,A/Nairobi/2041/2006,africa,unassigned,2006.54757016,2006-2007,15.0,10.0,16.0,6.0,18.0,12.0,5.0,16.0
30,A/Khabarovsk/49/2006,west_asia,unassigned,2006.38603696,2006-2007,15.0,10.0,16.0,6.0,18.0,12.0,5.0,16.0
34,A/Honduras/1923/2006,north_america,unassigned,2006.74743326,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
35,A/Honduras/AF1069/2006,north_america,unassigned,2006.862423,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
38,A/ElSalvador/380/2006,north_america,unassigned,2006.67351129,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
39,A/ElSalvador/361/2006,north_america,unassigned,2006.63244353,2006-2007,15.0,8.0,14.0,5.0,18.0,10.0,2.0,16.0
41,A/ElSalvador/AF1041/2006,north_america,unassigned,2006.76933607,2006-2007,16.0,8.0,15.0,6.0,19.0,11.0,3.0,15.0
43,A/Colorado/UR06-0023/2007,north_america,unassigned,2007.01916496,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
44,A/ElSalvador/AF1042/2006,north_america,unassigned,2006.8843258,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
48,A/Wisconsin/67/2005,north_america,unassigned,2005.99657769,2004-2005,16.0,11.0,19.0,0.0,17.0,13.0,5.0,19.0
50,A/Peru/5102/2006,south_america,unassigned,2006.49828884,2005-2006,14.0,9.0,17.0,2.0,15.0,11.0,3.0,17.0
51,A/Peru/5107/2006,south_america,unassigned,2006.50102669,2005-2006,15.0,8.0,16.0,3.0,16.0,10.0,2.0,16.0
53,A/Thailand/656/2006,southeast_asia,unassigned,2006.7118412,2006-2007,16.0,9.0,17.0,4.0,19.0,11.0,3.0,17.0
54,A/Dibrugarh/622566/2006,south_asia,unassigned,2006.42710472,2006-2007,18.0,11.0,19.0,6.0,21.0,13.0,5.0,19.0
55,A/Iwate/40/2006,japan_korea,unassigned,2006.33127995,2005-2006,17.0,10.0,18.0,5.0,20.0,12.0,4.0,18.0
57,A/Nagano/1150/2006,japan_korea,unassigned,2006.31485284,2006-2007,15.0,8.0,16.0,5.0,18.0,10.0,2.0,16.0
59,A/NewYork/1019/2006,north_america,unassigned,2006.29842574,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
60,A/Ukraine/369/2006,europe,unassigned,2006.27104723,2005-2006,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
62,A/RioDeJaneiro/209/2006,south_america,unassigned,2006.41067762,2005-2006,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
64,A/Brazil/1898/2006,south_america,unassigned,2006.49281314,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
66,A/Argentina/631/2006,south_america,unassigned,2006.79945243,2006-2007,16.0,8.0,14.0,6.0,19.0,11.0,3.0,16.0
68,A/Argentina/624/2006,south_america,unassigned,2006.79123888,2006-2007,15.0,7.0,15.0,5.0,18.0,10.0,2.0,15.0
69,A/Argentina/R624/2006,south_america,unassigned,2006.79123888,2006-2007,15.0,7.0,15.0,5.0,18.0,10.0,2.0,15.0
72,A/Honduras/45/2006,north_america,unassigned,2006.79123888,2006-2007,15.0,8.0,16.0,5.0,18.0,10.0,2.0,16.0
73,A/Honduras/1922/2006,north_america,unassigned,2006.74743326,2006-2007,15.0,8.0,16.0,5.0,18.0,10.0,2.0,16.0
74,A/Honduras/AF1071/2006,north_america,unassigned,2006.8733744,2006-2007,16.0,9.0,17.0,6.0,19.0,11.0,3.0,17.0
76,A/CostaRica/7322/2006,north_america,unassigned,2006.85420945,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
78,A/Honduras/3112/2006,north_america,unassigned,2006.98015058,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
80,A/Mexico/2519/2006,north_america,unassigned,2006.79397673,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
81,A/Honduras/AF1070/2006,north_america,unassigned,2006.8733744,2006-2007,15.0,8.0,16.0,5.0,18.0,10.0,2.0,16.0
83,A/Argentina/27/2006,south_america,unassigned,2006.45174538,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
85,A/Argentina/3509/2006,south_america,unassigned,2006.48733744,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
87,A/CostaRica/3895/2006,north_america,unassigned,2006.50376454,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
88,A/CostaRica/5548/2006,north_america,unassigned,2006.678987,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
90,A/Peru/4909/2006,south_america,unassigned,2006.38877481,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
92,A/Philippines/1124/2006,southeast_asia,unassigned,2006.44626968,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
94,A/England/61762/2006,europe,unassigned,2006.31485284,2006-2007,15.0,8.0,16.0,6.0,18.0,10.0,3.0,16.0
96,A/NewYork/NY-31003/2006,north_america,unassigned,2006.29021218,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
97,A/NewYork/11/2006,north_america,unassigned,2006.29021218,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
99,A/Zagreb/1216/2007,europe,unassigned,2007.30529206,2006-2007,16.0,11.0,16.0,8.0,18.0,12.0,5.0,17.0
101,A/Pavia/7/2007,europe,unassigned,2007.44863253,2006-2007,16.0,11.0,18.0,8.0,18.0,12.0,5.0,17.0
102,A/Pavia/8/2007,europe,unassigned,2007.44860922,2006-2007,15.0,10.0,17.0,7.0,17.0,11.0,4.0,16.0
104,A/Guyane/28/2006,south_america,unassigned,2006.46543463,2006-2007,15.0,8.0,16.0,5.0,18.0,10.0,2.0,16.0
106,A/Brisbane/150/2006,oceania,unassigned,2006.65434634,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
108,A/Peru/5130/2006,south_america,unassigned,2006.5119781,2006-2007,13.0,6.0,16.0,5.0,17.0,8.0,0.0,14.0
110,A/Connecticut/1/2006,north_america,unassigned,2006.73648186,2006-2007,13.0,6.0,16.0,5.0,17.0,8.0,0.0,14.0
111,A/Connecticut/CT-5204-7547/2006,north_america,unassigned,2006.73648186,2006-2007,13.0,6.0,16.0,5.0,17.0,8.0,0.0,14.0
114,A/Brisbane/49/2006,oceania,unassigned,2006.58042437,2006-2007,15.0,8.0,16.0,5.0,18.0,10.0,2.0,16.0
115,A/Tahiti/3/2006,oceania,unassigned,2006.63791923,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
117,A/Brisbane/69/2006,oceania,unassigned,2006.60506502,2006-2007,15.0,8.0,16.0,5.0,18.0,10.0,2.0,16.0
119,A/Christchurch/19/2006,oceania,unassigned,2006.49281314,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
120,A/Wellington/38/2006,oceania,unassigned,2006.50376454,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
124,A/Victoria/503/2006,oceania,unassigned,2006.44626968,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
125,A/Victoria/519/2006,oceania,unassigned,2006.49555099,2005-2006,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
128,A/Marseille/1215/2006,europe,unassigned,2006.88980151,2006-2007,17.0,10.0,18.0,5.0,20.0,12.0,4.0,18.0
130,A/India/34983/2006,south_asia,unassigned,2006.85420945,2006-2007,16.0,9.0,17.0,4.0,19.0,11.0,3.0,17.0
131,A/India/II-0634983/2006,south_asia,unassigned,2006.85420945,2006-2007,16.0,9.0,17.0,4.0,19.0,11.0,3.0,17.0
134,A/Taiwan/645/2006,china,unassigned,2006.44353183,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
135,A/Taiwan/718/2006,china,unassigned,2006.56947296,2006-2007,17.0,9.0,17.0,5.0,20.0,12.0,4.0,17.0
137,A/Hue/H020/2007,southeast_asia,unassigned,2007.74743326,2007-2008,16.0,9.0,17.0,3.0,19.0,11.0,3.0,17.0
138,A/Daejeon/514/2006,japan_korea,unassigned,2006.32854209,2005-2006,15.0,9.0,16.0,4.0,18.0,10.0,3.0,16.0
139,A/Jeju/384/2006,japan_korea,unassigned,2006.27652293,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
141,A/Gangwon/376/2006,japan_korea,unassigned,2006.27104723,2005-2006,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
142,A/Daejeon/417/2006,japan_korea,unassigned,2006.29568789,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
144,A/Voronezh/10/2007,west_asia,unassigned,2007.26830938,2006-2007,16.0,9.0,17.0,4.0,19.0,11.0,3.0,17.0
146,A/Taiwan/729/2006,china,unassigned,2006.60506502,2006-2007,17.0,11.0,18.0,6.0,18.0,12.0,5.0,18.0
148,A/Jiangxi/1209/2006,china,unassigned,2006.58590007,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
150,A/HongKong/3052/2006,china,unassigned,2006.76386037,2006-2007,18.0,10.0,18.0,7.0,19.0,13.0,6.0,18.0
152,A/HongKong/CUHK64082/2006,china,unassigned,2006.6899384,2006-2007,17.0,9.0,17.0,6.0,18.0,12.0,5.0,17.0
153,A/HongKong/CUHK63957/2006,china,unassigned,2006.68172485,2006-2007,17.0,9.0,17.0,6.0,18.0,12.0,5.0,17.0
155,A/JiangxiDonghu/1435/2006,china,unassigned,2006.48733744,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
157,A/HongKong/CUHK66001/2006,china,unassigned,2006.78028747,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
160,A/Chongqing/Yuzhong159/2007,china,unassigned,2007.12320329,2007-2008,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
161,A/Beijing/XICHENG1272/2006,china,unassigned,2006.94182067,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
163,A/SouthAustralia/355/2007,oceania,unassigned,2007.61054073,2007-2008,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
165,A/Japan/688/2007,japan_korea,unassigned,2007.15058179,2007-2008,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
167,A/Japan/51/2007,japan_korea,unassigned,2007.7118412,2007-2008,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
169,A/Japan/265/2007,japan_korea,unassigned,2007.95824778,2007-2008,19.0,11.0,19.0,7.0,20.0,14.0,6.0,19.0
171,A/Japan/98/2007,japan_korea,unassigned,2007.8733744,2007-2008,18.0,10.0,18.0,6.0,19.0,13.0,5.0,18.0
172,A/Japan/243/2007,japan_korea,unassigned,2007.95003422,2007-2008,17.0,10.0,17.0,6.0,18.0,12.0,5.0,17.0
175,A/HongKong/3068/2006,china,unassigned,2006.84052019,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
176,A/Jiangxi/Donghu312/2006,china,unassigned,2006.49007529,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
178,A/Massachusetts/12/2007,north_america,unassigned,2007.7118412,2007-2008,19.0,11.0,19.0,8.0,20.0,14.0,7.0,19.0
179,A/Tokyo/Ut-Sk-1/2007,japan_korea,unassigned,2007.13779859,2006-2007,18.0,10.0,18.0,6.0,19.0,13.0,5.0,18.0
181,A/Ningbo/938/2006,china,unassigned,2006.61875428,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
182,A/HongKong/CUHK69904/2006,china,unassigned,2006.99110198,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
184,A/Taiwan/70002/2007,china,unassigned,2007.00273785,2006-2007,19.0,11.0,17.0,5.0,18.0,14.0,6.0,19.0
186,A/Maryland/5/2006,north_america,unassigned,2006.63518138,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
187,A/Maryland/MD-V186917/2006,north_america,unassigned,2006.63518138,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
190,A/Canada/CN-RV32-07/2006,north_america,unassigned,2006.89527721,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
191,A/Canada/32/2006,north_america,unassigned,2006.89527721,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
193,A/Hawaii/6/2006,north_america,unassigned,2006.98836413,2006-2007,18.0,10.0,18.0,6.0,19.0,13.0,5.0,18.0
195,A/NewYork/1102/2007,north_america,unassigned,2007.09856263,2006-2007,18.0,10.0,18.0,6.0,19.0,13.0,5.0,18.0
196,A/California/UR06-0118/2007,north_america,unassigned,2007.07665982,2007-2008,18.0,10.0,18.0,6.0,19.0,13.0,5.0,18.0
199,A/HubeiWujiagang/1121/2006,china,unassigned,2006.58590007,2006-2007,19.0,11.0,17.0,7.0,20.0,14.0,6.0,19.0
